USERID,r_score,f_score,m_score,rfm_wscore
51220,4,1,1,2.8
51221,2,1,1,1.6
51224,3,1,1,2.1999999999999997
51225,4,1,1,2.8
51226,1,1,1,0.9999999999999999
51227,2,1,1,1.6
51229,3,1,1,2.1999999999999997
51230,1,1,1,0.9999999999999999
51231,3,1,1,2.1999999999999997
51232,5,1,1,3.4
51235,1,1,1,0.9999999999999999
51243,4,1,1,2.8
51244,5,1,1,3.4
51245,4,1,1,2.8
51246,4,1,1,2.8
51248,3,1,1,2.1999999999999997
51250,4,1,1,2.8
51251,5,1,1,3.4
51255,5,1,1,3.4
51258,1,1,1,0.9999999999999999
51259,5,1,1,3.4
51260,3,1,1,2.1999999999999997
51263,4,1,1,2.8
51264,4,1,1,2.8
51267,5,1,1,3.4
51273,4,1,1,2.8
51274,5,1,1,3.4
51275,2,1,1,1.6
51277,1,1,1,0.9999999999999999
51278,4,1,1,2.8
51279,4,1,1,2.8
51280,3,1,1,2.1999999999999997
51281,1,1,1,0.9999999999999999
51284,5,1,1,3.4
51285,3,1,1,2.1999999999999997
51286,2,1,1,1.6
51287,5,1,1,3.4
51291,4,1,1,2.8
51293,4,1,1,2.8
51294,5,1,1,3.4
51298,5,2,1,3.7
51299,4,1,1,2.8
51300,3,1,1,2.1999999999999997
51301,3,1,1,2.1999999999999997
51303,4,1,1,2.8
51304,5,1,1,3.4
51308,3,1,1,2.1999999999999997
51311,5,1,1,3.4
51313,1,1,1,0.9999999999999999
51315,2,1,1,1.6
51317,5,1,1,3.4
51318,4,1,1,2.8
51322,5,1,1,3.4
51323,4,1,1,2.8
51324,1,1,1,0.9999999999999999
51327,3,1,1,2.1999999999999997
51328,5,1,1,3.4
51331,1,1,1,0.9999999999999999
51334,5,1,1,3.4
51341,5,1,1,3.4
51342,4,1,1,2.8
51344,5,1,1,3.4
51346,5,1,1,3.4
51347,5,1,1,3.4
51348,5,1,1,3.4
51349,1,1,1,0.9999999999999999
51350,5,1,1,3.4
51351,5,1,1,3.4
51352,3,1,1,2.1999999999999997
51353,3,1,1,2.1999999999999997
51356,4,1,1,2.8
51357,1,1,1,0.9999999999999999
51358,2,1,1,1.6
51360,4,1,1,2.8
51361,4,1,1,2.8
51362,2,1,1,1.6
51365,4,1,1,2.8
51367,4,1,1,2.8
51369,4,1,1,2.8
51372,3,1,1,2.1999999999999997
51374,5,1,1,3.4
51375,5,1,1,3.4
51376,3,1,1,2.1999999999999997
51378,5,1,1,3.4
51379,4,1,1,2.8
51380,3,1,1,2.1999999999999997
51381,2,1,1,1.6
51382,2,1,1,1.6
51385,1,1,1,0.9999999999999999
51388,5,1,1,3.4
51391,1,1,1,0.9999999999999999
51392,2,1,1,1.6
51394,4,1,1,2.8
51395,5,1,1,3.4
51396,4,1,1,2.8
51398,5,1,1,3.4
51400,2,1,1,1.6
51401,3,1,1,2.1999999999999997
51403,3,1,1,2.1999999999999997
51405,2,1,1,1.6
51406,5,1,1,3.4
51407,1,1,1,0.9999999999999999
51409,1,1,1,0.9999999999999999
51410,5,1,1,3.4
51413,3,1,1,2.1999999999999997
51414,5,1,1,3.4
51415,5,1,1,3.4
51417,2,1,1,1.6
51419,5,1,1,3.4
51421,2,1,1,1.6
51422,3,1,1,2.1999999999999997
51423,5,1,1,3.4
51427,5,1,1,3.4
51428,4,1,1,2.8
51429,3,1,1,2.1999999999999997
51432,2,1,1,1.6
51434,3,1,1,2.1999999999999997
51435,2,1,1,1.6
51436,1,1,1,0.9999999999999999
51439,5,1,1,3.4
51440,4,1,1,2.8
51441,1,1,1,0.9999999999999999
51443,3,1,1,2.1999999999999997
51445,1,1,1,0.9999999999999999
51446,5,1,1,3.4
51447,4,1,1,2.8
51448,3,1,1,2.1999999999999997
51449,5,1,1,3.4
51451,5,2,1,3.7
51454,1,1,1,0.9999999999999999
51455,4,1,1,2.8
51457,5,1,1,3.4
51458,1,1,1,0.9999999999999999
51461,4,1,1,2.8
51465,3,1,1,2.1999999999999997
51466,1,1,1,0.9999999999999999
51467,2,1,1,1.6
51468,5,1,1,3.4
51469,2,1,1,1.6
51471,3,1,1,2.1999999999999997
51472,4,1,1,2.8
51474,4,1,1,2.8
51475,2,1,1,1.6
51478,4,1,1,2.8
51479,4,1,1,2.8
51480,2,1,1,1.6
51482,5,1,1,3.4
51483,5,1,1,3.4
51485,5,1,1,3.4
51486,2,1,1,1.6
51487,5,1,1,3.4
51490,4,1,1,2.8
51491,2,1,1,1.6
51494,3,1,1,2.1999999999999997
51497,2,1,1,1.6
51499,5,1,1,3.4
51502,1,1,1,0.9999999999999999
51503,5,1,1,3.4
51504,2,1,1,1.6
51505,5,1,1,3.4
51506,5,1,1,3.4
51507,5,1,1,3.4
51509,4,1,1,2.8
51512,5,1,1,3.4
51513,4,1,1,2.8
51514,2,1,1,1.6
51516,4,1,1,2.8
51519,1,1,1,0.9999999999999999
51520,5,1,1,3.4
51521,2,1,1,1.6
51523,1,1,1,0.9999999999999999
51525,2,1,1,1.6
51526,5,1,1,3.4
51527,3,1,1,2.1999999999999997
51529,4,2,1,3.1
51530,4,1,1,2.8
51533,2,1,1,1.6
51538,5,1,1,3.4
51540,5,1,1,3.4
51541,3,1,1,2.1999999999999997
51542,1,1,1,0.9999999999999999
51547,5,1,1,3.4
51550,4,1,1,2.8
51551,3,1,1,2.1999999999999997
51552,5,1,1,3.4
51554,2,1,1,1.6
51555,5,1,1,3.4
51557,4,1,1,2.8
51558,1,1,1,0.9999999999999999
51560,3,1,1,2.1999999999999997
51563,4,1,1,2.8
51564,4,1,1,2.8
51566,5,1,1,3.4
51568,2,1,1,1.6
51570,4,1,1,2.8
51571,3,1,1,2.1999999999999997
51573,5,1,1,3.4
51576,4,1,1,2.8
51577,2,1,1,1.6
51578,3,1,1,2.1999999999999997
51579,4,1,1,2.8
51580,3,1,1,2.1999999999999997
51583,5,1,1,3.4
51584,4,1,1,2.8
51585,5,1,1,3.4
51586,3,1,1,2.1999999999999997
51587,2,1,1,1.6
51588,5,1,1,3.4
51589,5,1,1,3.4
51591,4,1,1,2.8
51596,5,1,1,3.4
51599,2,1,1,1.6
51601,3,1,1,2.1999999999999997
51603,4,1,1,2.8
51605,4,1,1,2.8
51606,1,1,1,0.9999999999999999
51609,3,1,1,2.1999999999999997
51611,5,1,1,3.4
51612,1,1,1,0.9999999999999999
51614,5,1,1,3.4
51618,3,1,1,2.1999999999999997
51619,3,1,1,2.1999999999999997
51620,3,1,1,2.1999999999999997
51625,5,1,1,3.4
51627,4,1,1,2.8
51630,4,1,1,2.8
51632,2,1,1,1.6
51633,5,1,1,3.4
51635,3,1,1,2.1999999999999997
51636,4,1,1,2.8
51637,3,1,1,2.1999999999999997
51639,5,1,1,3.4
51640,5,1,1,3.4
51645,5,1,1,3.4
51646,3,1,1,2.1999999999999997
51647,4,1,1,2.8
51651,2,1,1,1.6
51652,5,1,1,3.4
51656,4,1,1,2.8
51658,5,1,1,3.4
51659,1,1,1,0.9999999999999999
51660,2,1,1,1.6
51662,5,1,1,3.4
51664,2,1,1,1.6
51666,2,1,1,1.6
51668,4,1,1,2.8
51671,5,1,1,3.4
51675,5,1,1,3.4
51676,5,1,1,3.4
51677,1,1,1,0.9999999999999999
51678,1,1,1,0.9999999999999999
51679,5,1,1,3.4
51680,5,1,1,3.4
51681,4,1,1,2.8
51683,5,1,1,3.4
51684,5,1,1,3.4
51686,5,1,1,3.4
51687,1,1,1,0.9999999999999999
51688,1,1,1,0.9999999999999999
51690,2,1,1,1.6
51692,5,2,1,3.7
51696,2,1,1,1.6
51699,2,1,1,1.6
51700,4,1,1,2.8
51701,5,1,1,3.4
51703,5,1,1,3.4
51704,2,1,1,1.6
51705,3,1,1,2.1999999999999997
51706,3,1,1,2.1999999999999997
51707,4,1,1,2.8
51709,2,1,1,1.6
51710,3,1,1,2.1999999999999997
51714,3,1,1,2.1999999999999997
51716,5,1,1,3.4
51718,5,1,1,3.4
51720,4,1,1,2.8
